rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
73,0.034375,0.0,0.0379746835443038,0.0,0.028617143630981445,0.0,0.009209156036376953,0.0,1,100,100,"{'model__max_depth': 1, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.034375,0.0379746835443038
82,0.0325,0.0,0.034536646350992344,0.0,0.028007030487060547,0.0,0.0030188560485839844,0.0,2,1,2,"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.0325,0.034536646350992344
82,0.0325,0.0,0.034536646350992344,0.0,0.027938365936279297,0.0,0.003977775573730469,0.0,2,1,30,"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.0325,0.034536646350992344
82,0.0325,0.0,0.034536646350992344,0.0,0.038643836975097656,0.0,0.004469156265258789,0.0,2,1,100,"{'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.0325,0.034536646350992344
85,0.03125,0.0,0.033911548679481165,0.0,0.041237592697143555,0.0,0.006305217742919922,0.0,2,30,2,"{'model__max_depth': 2, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.026247501373291016,0.0,0.0035173892974853516,0.0,2,30,30,"{'model__max_depth': 2, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.030536651611328125,0.0,0.004134416580200195,0.0,2,30,100,"{'model__max_depth': 2, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.026103973388671875,0.0,0.003990650177001953,0.0,2,100,2,"{'model__max_depth': 2, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.025691747665405273,0.0,0.003612995147705078,0.0,2,100,30,"{'model__max_depth': 2, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.03125,0.033911548679481165
85,0.03125,0.0,0.033911548679481165,0.0,0.03175759315490723,0.0,0.003848552703857422,0.0,2,100,100,"{'model__max_depth': 2, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.03125,0.033911548679481165
